,text,Category
216,"So, you have to—what?—tell your employer in writing that you want an abortion and hope that your Christianist State… https://t.co/97bBfjC8xx",Pro-choice
217,"@Katheri97932331 @Wags261 I was and if my mum had made the decision that abortion was right for her, I would be non… https://t.co/Bn38KVlkgZ",Pro-choice
218,@tedlittleford Literally the only good thing to come out of overturning Roe v. Wade was I discovered your talented work.,Pro-choice
219,I think there was a lot of complacency over Roe v Wade. That will increase the sense of anger and betrayal now that… https://t.co/pKnLTwbmF1,Pro-choice
220,"Abortion extremists are becoming more and more violent, it's shameful #AbortionBan",Pro-life
221,"Unfollow me if you are ""pro life"" and favor overturning roe vs wade. 

Go fuck yourself. https://t.co/sRm9VY5rDS",Pro-choice
222,"@drboycewatkins1 Abortion is against the law in 99% of black countries around the world

As black people that has n… https://t.co/tvu0Laas3Y",Pro-life
223,"@Greenbuck69 I will not respect a man that took away a womens right to healthcare, just because his mistress had an… https://t.co/tJyxbwIWV3",Pro-choice
224,@burner322 @Oddone_20 @fredlikestacos @TristanSnell @MSNBC Read the 14th amendment and tell me where you get anythi… https://t.co/NvXXopzss1,Pro-life
225,"@Devmag52 @EricDJuly Its like if there are meds for a certain patient and a drug addict is addicted to those meds,… https://t.co/fX5PXOiuG8",Pro-choice
226,"Alternative proposal: cover travel expenses for @VanderbiltU employees who need abortions, as have many other emplo… https://t.co/blWtRXc8sO",Pro-life
227,"@ChrisMurphyCT So, we should elect democrats who just sat on their asses for years during Obama and Biden and we st… https://t.co/Q748sGM6YH",Pro-choice
228,@odosnarf @MollyJongFast @HC_Richardson That’s why states/people have to go back at the Supreme Court on this. Abor… https://t.co/zTugKdQhKl,Pro-choice
229,This tiktok is brilliant… please watch to understand exactly why Roe v Wade being overturned is screwed up.  This i… https://t.co/Z6K9xyAEPs,Pro-choice
230,@GavinNewsom IMPEACH the 3 trump appointed justices for lying to Congress about Roe v Wade to get a seat on Supreme… https://t.co/n1GLEqg3Zx,Pro-choice
231,@LeaderMcConnell What about the 12 or 13 year old girl who is raped by her father &amp; gets pregnant? Can she handle a… https://t.co/iFaIeXVU6a,Pro-choice
232,"@juliaioffe I just had some knuckle dragger tell me that now roe v wade was gone slavery was on their ticket, wtf people?",Pro-choice
233,"@DICKS
Thank you for the stand you've taken to support your employees in regard to the Supreme Court overturning Ro… https://t.co/CiCr4MJJTS",Pro-choice
234,"it doesn’t take a genius to realise that overturning roe v wade doesn’t ban abortions, it bans SAFE abortions.",Pro-choice
235,I’m still speechless with what has transpired in this country. If you’re a follower that was for Roe V Wade being o… https://t.co/7BJS6ut8dP,Pro-choice
236,"@Kamanther1 @PieceFriendly @mdunndata @TimRunsHisMouth Actually the death rate could increase, if women are forced… https://t.co/eQHCGMezIm",Pro-choice
237,"@philneezy @JamesSurowiecki @InsrtHandlHere @MaxNordau @SomewhereinATX @JohnCornyn Pro-top: There has never been, a… https://t.co/Zd5KPBzfSP",Pro-life
238,"IF YOU SUPPORT ABORTION RIGHTS AND ROE V. WADE WALK OUT OF WORK ON THIS MONDAY, JUNE 27 AT 12:00pm!!!",Pro-choice
239,"The grief and the anger is very real': B.C. officials, advocates react to U.S. abortion rights decision | CBC News https://t.co/zUEhgxkvSf",Pro-choice
240,@lizzwinstead I donate to PP monthly and have contacted via phone calls &amp; email legislators in Wisconsin to support… https://t.co/c1dGGfIx4T,Pro-choice
241,"@DanRather If it’s so unpopular, why are dozens of states enacting new laws limiting abortion now?",Pro-life
242,"@premnsikka Writher, FGM in Africa or Anti-abortion in USA - are all part of a mechanism of exerting control on cer… https://t.co/Yu6tmAKXsV",Pro-choice
243,@Social0201 @lynnd87 @ohheyjenna @tvaziri that the right to abortion was based on the privacy of a woman with her d… https://t.co/jfsUHcKwjw,Pro-choice
244,"Roe v Wade protects contraceptives, viagra, any form of birth control, any abortion related activities (even treatm… https://t.co/uuZR3iwszE",Pro-choice
245,"@SpookySocialist @tylrhut The Soviet Union didn't just ban abortion. In parallel with this, he created conditions f… https://t.co/B5wkgyLIqU",Pro-choice
246,Before all the pro aborts get their knickers in a twist this is not the same as Roe v. Wade. All  Abortion lovers c… https://t.co/84FhZbuqzI,Pro-life
247,"Pro choice 👍

Looks like we're adding abortion  to the list of election  issues.... again  🙄

Good time to he movin… https://t.co/JVOqNSXbpG",Pro-choice
248,@howdygiorgie The worst part for me is that the people in charge of this decision only voted to overturn Roe V Wade… https://t.co/EKASKk4T8V,Pro-choice
249,"@ArtValley818_ Remember when they said ""nobody celebrates abortion""?",Pro-life
250,@Rubychirp1 @SenTedCruz You should really be informed on the decision and I don't think you are. Abortion is murder… https://t.co/e6GMB9kDTV,Pro-life
251,"@jaredstacy Yes, rights based thinking is the whole problem with this debate. Abortion rights as they’ve existed fo… https://t.co/w8BMCuq6ad",Pro-choice
252,"I will state this for the record rn. I’m all for everyone having their own beliefs, morals, and values but if you’r… https://t.co/v2nuTOmD3E",Pro-choice
253,"It getting pregnant endangers your life......

THEN STOP GETTING PREGNANT DUMBASS.

Why should the baby die because… https://t.co/Q3Uddrh8tq",Pro-life
254,Today I think of the hundreds of millions of babies killed by abortion. You loser @JustinTrudeau https://t.co/942Da0SMn3,Pro-life
255,@RealPaigeWWE It was never a constitutional right. Any law that came after the constitution was designated by state… https://t.co/bZ20FvNAf1,Pro-life
256,The problem imo is the social engineering that hyper sexualized us to the point that killing babies was normalized.… https://t.co/kjJL336oT8,Pro-life
257,@Sharkxzy Why cant biden do anything against the recent overturn of roe v wade,Pro-choice
258,just sobbing at all of the footage of the police brutalizing WOMEN at abortion protests. this is scary and this is real.,Pro-choice
259,"@blowandpuffs It isn't even in the constitution hence why Roe V wade was overruled. Again, abortion being killing o… https://t.co/wv7rGCdxdV",Pro-life
260,What business is it of anyone to control what a woman does with her own body? What a setback for us all. Today it's… https://t.co/Fs8sM2GLb9,Pro-choice
261,No. Access to abortion is a cornerstone of women's rights. This is absolutely reprehensible. #ProChoice #RoeVWade… https://t.co/KhjtZ6Pc0P,Pro-choice
262,@KyleBucalo @WillWilburforce @46Is_A_Zero @Abiigaiiiiil @sdkeithk @ruby51x @StephenKing The explanation is thus to… https://t.co/ZvuUR3y5ZJ,Pro-choice
263,@raxsha @mentallyilljew Upanishads condemn abortion but being Hindu has nothing to do with followibg texts or scrip… https://t.co/S1cTfW8XVk,Pro-choice
264,34 yrs ago my wife had cancer in womb and uterus she was pregnant doctor suggested abortion so he could operate to… https://t.co/9QninfZMLt,Pro-life
265,@cshperspectives @RyanMarino no biomedical organization should have offices/research facilities/funding in a state… https://t.co/uPcAfuPrBb,Pro-choice
266,"@POTUS DO YOUR JOB

PROTECT AMERICAN WOMEN

CODIFY ROE v WADE

#CodifyRoeVWade
#CodifyRoe
#RoeVsWade

OR... go home… https://t.co/8UOS3bNl9U",Pro-choice
267,3. Go on a financial strike and refuse to buy anything other than essential goods.  Tell the media you are on strik… https://t.co/txbNYPqtJR,Pro-choice
268,@DrJenGunter @thehill Roe v Wade would still exist if Democrats didn’t sue to have late term child murders. This is… https://t.co/lBiFG6G8aq,Pro-life
269,"@juliavkril Yep. Not about children or life or anything noble. Only about power and hate.

Anyway, if you were to c… https://t.co/rrQftvNaHH",Pro-choice
270,@pryboy @SethAGinger @ggreenwald @gaywonk They are already pushing for a federal abortion ban if they win back Congress,Pro-choice
271,@secupp Maybe she wants her special needs relative to have the option to choose abortion.,Pro-choice
272,@leebee4life @cindymclennan It’s scary how many people are saying “well why should we vote anymore.” Honestly terri… https://t.co/hXLAGXpEMo,Pro-choice
273,fuck allat abortion sht y’all hoes jus stop fuckin,Pro-life
274,"I have never ever understood why do ppl care whether a woman wants to abort or no, like these mfers made abortion i… https://t.co/8Uj9UwLaZm",Pro-choice
275,everything with roe v wade is bringing back so much trauma and i feel all the progress i made just slipping away.,Pro-choice
276,In awe at the amazing work @NDWINFund &amp; @DestiniSpaeth are doing day in day out to support access to abortion in a… https://t.co/elUrhFrLJi,Pro-choice
277,"@markmcan @MarinaPurkiss @ScottBentonMP From a very quick count, around 19 MPs from 99 who voted against abortion w… https://t.co/OvpErDYSDN",Pro-choice
278,I am the only candidate in the runoff endorsed by National Right to Life for my 100% pro-life voting record. I file… https://t.co/Pa3dXHslrT,Pro-life
279,"It’s funny how all those people who were screaming “my body, my choice” over the vaccine, are radio silent on Roe v… https://t.co/AjKc3lpzrw",Pro-choice
280,@kdeighton79 I do not in disagreement with your your argument as I do think medical discussions are a personal choi… https://t.co/T7ZACfwVvB,Pro-choice
281,@Native_living @Kirk97811288 @RepAndyBiggsAZ Just as the fake “prolife” are bombing abortion clinics?… https://t.co/6emrpoDglZ,Pro-choice
282,@lana_lovehall Now I’m not even black because abortion isn’t my top priority.,Pro-life
283,"""No, justices, your work isn’t done. What you have finished off is the legitimacy of the court on which you are pri… https://t.co/Pl4nDJNcN6",Pro-choice
284,Alito was on the appellate court that upheld abortion restrictions in Casey. O'Connor wrote the opinion overturning… https://t.co/joesplNPFh,Pro-choice
285,"@VP How can you encourage abortion when it can be curbed by applying protective measures to avoid pregnancy, you ca… https://t.co/Dea0F1io5s",Pro-life
286,"Dobbs is bad because it effectively bans safe abortion access for millions of people, not because it did so in a way that’s kinda sus.",Pro-choice
287,"#RoeVsWade 
I am very left leaning on most issues, when I comes to abortion I am squarely in the Feingold camp. 
""T… https://t.co/eiYzPOkNo9",Pro-choice
288,"#GOPWarOnWomen FACT: 70% of Americans support Roe vs. Wade, yet SCOTUS and the Republicans are the people making th… https://t.co/40hUPECDyF",Pro-choice
289,"@PitreTalitha @breeadail @AbsoluteWithE it's satire.
Sarcasm.
Annoyance. 

As a woman, it's disappointing people do… https://t.co/0n2YV4BE2L",Pro-choice
290,@sailortaylor11 Abortion is MURDER,Pro-life
291,@bunni_lexi I’m hoping a better law can come from this more accurately defining &amp; protecting abortion rights. Main… https://t.co/NGphVBdR9w,Pro-choice
292,@callierules4151 @TeresaMayNot @Puddledumpling I'm scared about the direction the country is going and I don't reme… https://t.co/MFsSIwJZPA,Pro-choice
293,@HippoCrunchy @theRYANfist @GreenMusicPCDJ @bacon6966 @VIP3R187 @hodgetwins That’s a chance you take when you have… https://t.co/iPAIc68bi5,Pro-life
294,@SenWhitehouse I agree with this. If we cannot charge Justices with perjury for lying about abortion during confirm… https://t.co/jDZZ7UmiW8,Pro-choice
295,@coaxialcreature @Zanvil_F Abortion ban affects more than just biological women.,Pro-choice
296,"@ReallyAmerican1 Love You Chris Evans...Love Your T-shirt...
Order Yours: https://t.co/IzgwMoUfPi
#AbortionBan… https://t.co/dGcCNEsmEX",Pro-choice
297,"(Part 3 of 3) Simply not getting an abortion for yourself, but advocating for abortion for others is a direct contr… https://t.co/8uWv5Cl7RM",Pro-life
298,@Fogle4MO arguing that abortion should only be allowed in cases of rape is fucking stupid bc rape cases take foreve… https://t.co/CyeEmMLrPD,Pro-choice
299,"@SamuelLJackson Abortion is not healthcare. 

Killing a baby to save your career is not healthcare.

Killing a baby… https://t.co/z5mi2mT5Od",Pro-life
300,All this “roe vs wade”being overturned is the cause for voting for a stupid former president trump that knew this would happen😡👎,Pro-choice
301,Welcome to birthing in America now that Roe vs. Wade was struck down. This is what happens when a country is ruled… https://t.co/S66TdNWghD,Pro-choice
302,Doctors train years to be able to train to be able to perform this and it is a restriction against their capabiliti… https://t.co/p4C6Sb6O6i,Pro-choice
303,"Me: I don’t think you’re old enough to watch Handmaid’s Tale. It’s dark and upsetting. 

16 year old daughter: 
Ame… https://t.co/kdu1SAwtWZ",Pro-choice
304,@SubduedRadical @rgrokett @AverageCTZN2k21 @ImALittleBitShi She ended up going septic and DYING because of it. All… https://t.co/en7P0Bzxpi,Pro-choice
305,@StarTribune Religion should be banned before abortion.,Pro-choice
306,Studies show there is a direct correlation between supporting abortion and being fat and ugly.,Pro-life
307,"@JayVarCamper @Annakhait Tell that to Anna, who every time she posts about abortion it’s always the same ""BABY MURD… https://t.co/oDT6BE0uJK",Pro-choice
308,"Perhaps the Dems should just say that @POTUS is doing God's work at our Southern border 

""Whoever is kind to the p… https://t.co/VzhDfoQrMZ",Pro-choice
309,@JoeBiden You mean like voting for a candidate who promised to codify roe v wade?,Pro-choice
310,@lupe_peters @Taniel @PimaDems @libe Several European countries are more strict then we’ve ever been and maybe if p… https://t.co/mZtKhlIcY5,Pro-life
311,This piece of shit GOP minority leader Kevin McCarthy praised the corrupt supreme Court's decision on overturning R… https://t.co/sk8rut7vzw,Pro-choice
312,@MalloryOMalley3 @sudmuck @ryunakova @classicallyabby @benshapiro Have you lived in a fucking fish bowl your whole… https://t.co/8iIcFDFVtW,Pro-choice
313,@WildTrumpanzee @regretfultweet @town_crierrr @briebriejoy @BadFaithPod Yea I don’t think they know the meaning of… https://t.co/bWJC4CXCZK,Pro-choice
314,"@TomFitton @MichelleObama @BarackObama As was stated earlier, the two Obamas don't have any respect or compassion f… https://t.co/nE2CqAZHSk",Pro-life
315,if youre more upset that dream is upset with roe v wade being overturned than the actual fact roe v wade was overtu… https://t.co/QT1cWAst1m,Pro-choice
316,@StevenTDennis …you realize that the implications of that (that women shouldn’t have the right to an abortion) are… https://t.co/xK7q2APxJN,Pro-choice
317,Mfw abortion got legalized in my cool ass country 😎,Pro-choice
318,@Pajeetsmell @cumbia1329 @Luigi5519 @thisisinsider https://t.co/XIIlqGYE2b,Pro-choice
319,@ClayRayMore The same place they did before 1973. Abortion was always available for the wealthy.,Pro-choice
320,"It’s a shame that 3 Justices, who lied to Senators, can get away with overturning a Law, they stated was precedent!… https://t.co/T3RDWCL7Id",Pro-choice
321,@MoeJLong @NakedShortsYea_ @reshazldazl @Simone_Biles What state wouldn't allow abortion in these narrow instances?,Pro-choice
322,"@POTUS I’m sorry Mr President, that’s an asinine statement.  You took an oath to uphold our constitution, 6 of the… https://t.co/mOeJaDEHg0",Pro-life
323,@SenatorCollins @SenatorSinema @lisamurkowski @Sen_JoeManchin - Will at least two of you carve-out an exception to… https://t.co/0CZg6N1QIt,Pro-choice
324,"The article includes safety information, too:

https://t.co/XnwFESV9Ch",Pro-choice
325,@JoJoFromJerz GOP believe people have the right to get or not the COVID VAXCCINE BUT NOT THE RIGHT to get or not ha… https://t.co/FYRhoLEOs2,Pro-choice
326,@JohnCornyn You are tone deaf.  Comparing abortion rights to school segregation is disgusting. The two are not remo… https://t.co/ZeJRgm1AVI,Pro-choice
327,Thank you to the guy who climbed that bridge in DC to protest the overturn of Roe v Wade &lt;3,Pro-choice
328,This perfectly describes everything that is wrong with the decision to overturn Roe vs Wade... 😔 https://t.co/ySJZYdChXa,Pro-choice
329,"@JonnyDougs @bons05 @PremierLacrosse Right, but that’s because it’s not pro life v pro abortion, right? it’s pro “l… https://t.co/xNIH0A3Ngz",Pro-choice
330,Welcome to equality women where just like a man you can not leave or desert the child with consent from the other p… https://t.co/d7CDclV9Hw,Pro-life
331,"Had this shit happened with roe VS wade overturned, the scum bucket government would have just forced her to carry… https://t.co/IQhv6ugcX4",Pro-choice
332,The 6 RW scotus' have shamed the USA » Global abortion rights: Scrapping Roe v. Wade makes the US an outlier in the… https://t.co/FscJ4CXwJU,Pro-choice
333,@Oborosen @kiblerb1 @StephenKing What you call it then.  I get pregnant I don't want it but abortion is illegal so I'm forced to birth it.,Pro-choice
334,They will protest Roe v Wade.  But not a experimental vaccine that was mandated!,Pro-life
335,via @NYTimes. The Supreme Court and evangelical ultra-conservatives who led the push to overturn Roe V Wade are sta… https://t.co/7py0qXPDN3,Pro-choice
336,The companies paying $4K in travel for abortion is not #woke or to help #women. Its #Economics101. Cheaper to pay t… https://t.co/IdxPth6FSf,Pro-life
337,"If a woman wants an abortion, she should have that right. The argument that a person should only have one because t… https://t.co/xE5T9wzo05",Pro-choice
338,@SarahTheWoodDuk @DeeMarie308 @ibangel This is so rare!  But in those cases that is a true medical emergency!  Quit… https://t.co/DCONWRFAbG,Pro-life
339,"If u disagree w Roe v wade ur fucking lost I'm sry 

No future signaling here

Heres how u can help fr

Donate your… https://t.co/nGHFGMYeI3",Pro-choice
340,They banned abortion before they banned AR-15s. #GOPWarOnWomen,Pro-choice
341,Acaban de derogar la sentencia Roe v. Wade – y activistas del derecho al aborto de todo el mundo están defendiéndol… https://t.co/SChGK7PyoV,Pro-choice
342,@walmart will you be providing employees support like Dicks sporting goods has done for associates that need an abo… https://t.co/hm8i5p66do,Pro-choice
343,"@rachelkayw Abortion is still LEGAL in KS. We vote on August 2nd to keep our KS Constitutional Abortion Rights!

VO… https://t.co/xC2dNuWqYL",Pro-choice
344,@Stonekettle Old white men thinking surgical treatment for an ectopic pregnancy and miscarriage is an abortion are… https://t.co/gIVnJAzv7Y,Pro-choice
345,"US supreme court overturns abortion rights, upending Roe v Wade https://t.co/1RvaRtSpV8 Firstly the present US Supr… https://t.co/s6JQFKkepB",Pro-choice
346,@RHeadland @emreistvergeben @nunnas22 @GovTimWalz The Supreme Court simply stated that the 73 decision was wrong. A… https://t.co/oxRCakL6vo,Pro-life
347,@grey_son7 You are exactly right guns are bad when they’re used to murder people. 5000 people last year in America… https://t.co/VExifMYL1g,Pro-life
348,I don’t get it. It should be a woman’s right for her to decide if she wants to have an abortion or not. It shouldn’… https://t.co/9ZI12uR3BD,Pro-choice
349,"@ElisaTZhang Does the baby have any autonomy before you vacuum it's brains into a sink?

The Left ignores the compe… https://t.co/wtu8c2xxo0",Pro-life
350,@whackamolio @Dania626 @ReNaissance_RoN @thecimonalisa If it were that easy then abortion wouldn't be a problem. I… https://t.co/Ln58XKWQtO,Pro-choice
351,@MontezFordWWE Especially after God intervened and overturned Roe v Wade by working through the supreme court?,Pro-life
352,@TheLSD My thoughts exactly.  No Roe v. Wade + Tinder let's see how this plays out.,Pro-choice
353,y'know most european countries could put their money where their mouth is w/r/t abortion and expand the limits for… https://t.co/U1zXEzXTJF,Pro-choice
354,cis men shouldn’t be praised for being upset about roe v wade. they should be. i’m not gonna hype somebody up for t… https://t.co/PotOrwhNCb,Pro-choice
355,As to me I think it's up to a woman whether or not to do an abortion. And nobody has the right to poke his ugly nose to her private life.,Pro-choice
356,@revealofliberty The proof is the conversation itself. If you thought at any point in time I was ever against abort… https://t.co/huqvhjLJk5,Pro-choice
357,"#AbortionRights First they came for immigrants in detention facilities..
now it's ALL women. 
What we allow for one… https://t.co/n0CQ7XqWGL",Pro-choice
358,Miss me with the “be for abortion but …” tags. But nothing. I’ll be for abortion all day every day. Keep my uterus out of your damn mouth 😤,Pro-choice
359,"Carlin's thoughts on Abortion.
#RoeVsWade
Check out Mandy's video! #TikTok https://t.co/GibduC3sMa",Pro-choice
360,@OOCAdult Still bitching and moan about Roe v Wade overturn.,Pro-life
361,@markpoloncarz @RepBrianHiggins @RepJacobs @SenSchumer @SenGillibrand No matter how many mistakes Biden repeatedly… https://t.co/1yWKEulwE6,Pro-life
362,@jkwilliams11 @cstark444 @itsJeffTiedrich State government has no rights to tell any woman she can’t get an abortio… https://t.co/OD8FX6Ece2,Pro-choice
363,@grey_son7 So lucky 2 live in IL. Check out Gov Pritzker’s response to overturning of Roe v Wade &amp; the harrowing re… https://t.co/TQ2wGb4shA,Pro-choice
364,The overturn of roe v wade only makes me more averse to the idea of having children. It's not like the federal gove… https://t.co/veDD7KCiUQ,Pro-choice
365,@__ISB they’re are ancient more safer methods for abortion,Pro-choice
366,"@ianbremmer If you don’t want abortion - don’t make it. This is a woman’s uterus, her body and her decision. Not yo… https://t.co/lbnZCVc6kI",Pro-choice
367,@Shelley23529622 @DaniTrussell71 @ExoticTlaloc @Christinekk2022 @MariahCarey Who said I was left? And rationally? I… https://t.co/1m5jW1sjvE,Pro-choice
368,@Rosebid2 @MariahCarey You don’t have to be sorry. Roe vs Wade came out of the deaths of many women who were gettin… https://t.co/SYSUJW9xLA,Pro-choice
369,@longbeachgriffy Exactly you can be pro-life all you want to but if I get my side piece pregnant she getting that abortion.,Pro-choice
370,@QED76 @Jimbluesdad @billmaher She ran a shit campaign sure but you can’t say that president trump was better than… https://t.co/6qMFhkDnUB,Pro-choice
371,"Hard same. We need mandatory sex ed in ALL schools (yes even and ESPECIALLY religious ones), nationwide access to f… https://t.co/jDsHhj0QHq",Pro-choice
372,@galaxysearchers @americanstorm @dangerouserayo @GrethanIlenya @dylanobrien abortion isn’t murder lmao. murder is t… https://t.co/qkAv7mBFYy,Pro-choice
373,@sorkincel Here is me launching my political career in SC. I will fight any politician who supported this Roe v Wad… https://t.co/xCaM1NnzES,Pro-choice
374,@esmemurphy @drscottjensen @GovTimWalz Here’s the thing abortion rights is a man-made thought up movement while God… https://t.co/6QhLUM53zF,Pro-life
375,@ConverseProLife @JetsFan1966 @StudentsforLife And a pregnant person who wants to continue a pregnancy eventually g… https://t.co/Gtgl4XcyVz,Pro-choice
376,@MorganLlaverias @Debitcash29 Judges decided just like they did when they ruled in the 70s on roe v Wade which was… https://t.co/EsbvvcwTvl,Pro-choice
377,"@KidSwagYolo1 @_celia_bedelia_ Abortion isn't nuanced, it's a medical procedure and it's draconian to be outlawing… https://t.co/j3Z7kN6nLi",Pro-choice
378,I should hv quoted the tweet because the thread is/was medication abortion products. https://t.co/Trqc0NN5Bd,Pro-choice
379,"Soon, if not already, someone who needs an abortion in Brownsville, TX, will need to travel 1,140 miles - that's ov… https://t.co/plEJqVpJyr",Pro-choice
380,"@slaterlofty @SassyHairDood @RonFilipkowski But since women are obviously equal members of society, this is just st… https://t.co/JgeRGcIfUr",Pro-choice
381,Roe v. Wade: Megan Rapinoe slams decision as ‘violent onslaught on women’s bodies’ https://t.co/SeIX89TFW0,Pro-choice
382,"@DanRather Pretty sure he succeeded.  What percentage of people support overturning Roe v Wade?  Less than 30%?  

What Democracy?",Pro-choice
383,they took away our miranda rights the DAY BEFORE roe v wade was overturned. our government is strategic beyond most… https://t.co/yEvmlQHun7,Pro-choice
384,@kiraspit @sokurovark The term birthing body expresses that one is reduced to their reproductive value and sounds v… https://t.co/dt39tqNsfc,Pro-choice
385,@JessicaCoblentz Abortion kills twice. It kills the body of the baby and it kills the conscience of the mother. Abo… https://t.co/zZdVahGE3I,Pro-life
386,"The first joke I ever heard from George Carlin ‘you ever notice women against abortion, are the ones you wouldn’t w… https://t.co/Iy3dvG2ZA4",Pro-life
387,"""Released a year before Roe v. Wade, this short film"" It Happens to Us (1972) directed ""by Amalie Rothschild lays o… https://t.co/jXtRhMJyQI",Pro-choice
388,"@Mystigon2 @ElijahSchaffer Dude come on. Although thats very funny this is not something to make a joke of. 
If you… https://t.co/bUG5wCVk2f",Pro-choice
389,@GEdwards2021 @PoettOnYT @Gus15372522 @pasghetti__ @jentaub There is no right to an abortion in the Constitution. Y… https://t.co/ytpEIZ40Zc,Pro-life
390,"@rhymeswithjoey Use DoD money to open abortion clinics in Fort Hood, Tx instead",Pro-choice
391,"Who would rail about health centers who saved my life but bc abortion was on the menu, they and patients going were… https://t.co/4kiddrM7Dm",Pro-choice
392,"These woman wanna sit here and complain about Roe v Wade, "" my body, my choice "" and say your mother had a choice,… https://t.co/JIVmSxQOuD",Pro-life
393,@AlYourPalster @RealPootie @realpdxscanner So narrow minded of you and everyone else. Refusing to acknowledge the T… https://t.co/J0ryG5Hr5Y,Pro-life
394,@DonaldJTrumpJr You realize alot of women are suffering from the overuling of Roe v Wade. Especially those who have… https://t.co/OXVkgtPGlE,Pro-choice
395,"@Keanu_Weev @He_who_Remainz @BasicSyrian @FoxNews @kayleighmcenany Half of abortion patients used protection.
There… https://t.co/il77AK69RD",Pro-choice
396,@FetusKebabs @Gerrytart9 @LRLaverdeHansen @Benicetoopeople I’ll defend any non-Republican. Til the day I die. All d… https://t.co/8ikPldR2Gh,Pro-choice
397,Roe Vs. Wade Supreme Court Ruling On Abortion Sparks Outrage — &amp; Action — From Hip Hop Community… https://t.co/UnZskfRIeH,Pro-choice
398,"@DougDucey Oh puhleeze. Your
Mom should have taken advantage of Roe Vs Wade. https://t.co/xYXQDMgZI3",Pro-choice
399,"Here's some fun quotes for Roe v. Wade lunatics today

Read, if you think you know what the law and Constitution say https://t.co/nLJUILIZWo",Pro-life
400,"I come in ✌️ 
Roe v Wade
#RoeOverturned https://t.co/U2257H1lqr",Pro-life
401,Cops are gonna be the ones enforcing the new abortion laws. #ACAB,Pro-choice
402,people having the audacity to be happy about what happened w roe v wade make me so sick,Pro-choice
403,Republicans who voted for GOP in the last few elections and then say its not their fault that ROE v Wade was overtu… https://t.co/vQhw1YRQAZ,Pro-choice
404,@highroadsaloon People HAVE unalived themselves because they didn’t have access to a LEGAL abortion. I’m not trying… https://t.co/t4tbk7r1t4,Pro-choice
405,"They're coming to take away your Rights! 
In case the apathetic &amp; wilfully ignorant have woken up.

#FoxNews… https://t.co/jKhx9Z5FZF",Pro-choice
406,@klippittyflopp @DwightTurf Americans are happy about Roe v Wade. You people from other countries need to stay out of our politics.,Pro-life
407,"2/ “614 stalking incidents and four kidnappings, according to the National Abortion Federation. The supposedly “pro… https://t.co/5y27Bv7sCI",Pro-choice
408,@CatherineCRine1 This is a 100% true statement.   The final stages of a society is child sacrifice and abortion is… https://t.co/BwCxdmJ7I1,Pro-life
409,It’s really mind boggling that they overturned Roe v. Wade. But what do you expect out of these clowns,Pro-choice
410,@loudrthqnbombs abortion being illegal or wrong or what so ever so bringing up the bible just didn’t make sense in the first place 😵‍💫,Pro-choice
411,Corporations are helping their employees get an out-of-state abortion because those without families are much cheaper for the company.,Pro-life
412,@POTUS Do something about Roe V Wade !,Pro-choice
413,All these women talking about no sex to strike abortion: WHOS HAVING SEX WITH YOU NOW??? #answer #RoeOverturned #women #womensrights,Pro-life
414,@humansilk Deal And every abortion does the life expectancy of the life they just took in prison 😂,Pro-life
415,I can't believe that the Senators when they say the candidates for the Supreme Court told them the truth when asked… https://t.co/CnCDo4DMbS,Pro-choice
416,@squeakingmeow @pixposies @fawnsoffline @heroicslug @barrenessblack2 @Joddammit @avocadorable29 @vixmcintyre… https://t.co/blWua613b8,Pro-life
417,“Pro-Life” is NOT - simply anti-abortion and don’t give a damn about the adults involved. #hate #HateSpeech  #life https://t.co/R3hLGyvUYc,Pro-choice
418,I’m such a advocate for people doing what they think is best for them. This whole Roe v. Wade overturning is so repulsive to me. 🤮,Pro-choice
419,"Me, looking at all of the SCOTUS members who swore under oath to uphold Roe v Wade, who did not in fact uphold it.… https://t.co/gmtKzDnzEQ",Pro-choice
420,"Hands off my reproductive rights, choices and my body. Dismantle the Supreme Court who overturned Roe vs Wade. https://t.co/MCe3NUBgGf",Pro-choice
421,@Food_2_Die_4 @Lynda63986855 @DLobbregt @USA_Aquanaut @Atticus58113746 @2020_Vision_ @LaughTrackItsT1… https://t.co/gGxMz9LXDw,Pro-life
422,@NotWhatY0uThink @TheresaWuzHere @quattalbum @ananavarro Roe v wade does not change what women do w their bodies. I… https://t.co/C9AaSMYrux,Pro-life
423,@YeonmiParkNK So much respect for you Yeonmi. You're story brought me to tears. As a Canadian Male &amp; no dog in the… https://t.co/ZkttelkfS0,Pro-choice
424,@KamalaHarris Roe V Wade didn’t protect the babies that didn’t have the same opinion as you.,Pro-life
425,"roe v wade criminalizes afabs, felons cant vote,, so its almost like they're backtracking on purpose just bc they w… https://t.co/w2PckRAJhX",Pro-choice
426,"@zookeeperdan @H0NEYRIVER Big fucking lol at calling an apparatus ""pro-choice"" when its leadership has 1) actively… https://t.co/EyayLvq1vd",Pro-choice
427,it makes me even more mad that we literally voted against overturning roe v wade by a strong majority but the supre… https://t.co/BZVRBRVRp3,Pro-choice
428,I feel like all athletes who play for a state that Abortion bill applies to should stop playing until its over turned.,Pro-choice
429,The GOP-packed Supreme Court overturned Roe v. Wade. We have to stick together &amp; continue to fight for bodily auton… https://t.co/3OiBgHecV1,Pro-choice
